Timestamp (ms),Date,Hour (h),Minute (min),Second (s),Analog 1 (V),Analog 2 (V),Analog 3 (V),Analog 4 (V),Accel X (g),Accel Y (g),Accel Z (g),Intake Air Temp (°F),Coolant Temp (°F),Economy (l/100km),Econ avg 1 (l/100km),Econ avg 2 (l/100km),Trip 1 (km),Trip 2 (km),Fuel usage (l/h),Engine Speed (RPM),Engine Load (mg/str),Mass Airflow (kg/h),MAF Voltage (V),Knock Current (°CRK),Vanos (°CRK),TPS (%),Ignition Angle (°CRK),Fuel Inj (ms),Speed (mph),IACV (%),Lambda Int 1 (%),Lambda Int 2 (%),Lambda 1 (V),Lambda 2 (V),Battery Voltage (V),WBO (AFR),Oil Temp (°F),Oil Pressure (PSI),Brake Pressure (%),GPS Speed (km/h),GPS North (Angle),GPS Altitude (m),GPS Latitude (°),GPS Longitude (°),
3292,250209,19,36,19,2.403,0.743,0.557,3.155,0.264,0.032,-0.428,89,184,99.00,98.24,98.24,511.28,511.31,5.08,4823,50.34,43.75,1.58,0.00,24.72,0,34.96,1.40,46,0,-0.00,-0.00,4.80,4.78,13.74,14.65,204,71,6,71.51,309.30,157.399994,30.136475,-97.637131,
3372,250209,19,36,19,2.436,0.784,0.564,3.155,0.300,0.060,-0.312,89,184,99.00,98.24,98.24,511.28,511.31,5.08,4755,51.41,44.50,1.60,0.00,26.21,0,34.96,1.43,46,0,-0.00,-0.00,4.80,4.78,13.84,14.68,204,71,6,70.88,308.51,157.399994,30.136486,-97.637146,
3452,250209,19,36,19,2.432,0.784,0.558,3.155,0.400,-0.016,-0.344,89,184,99.00,98.24,98.24,511.28,511.31,5.01,4725,51.05,43.75,1.58,0.00,28.09,0,34.96,1.42,46,0,-0.00,-0.00,4.80,4.80,13.74,14.60,204,70,8,69.71,307.53,157.399994,30.136497,-97.637161,
3536,250209,19,36,19,2.455,0.806,0.582,3.155,0.544,-0.064,-0.392,89,184,99.00,98.24,98.24,511.28,511.31,4.88,4618,50.90,42.75,1.58,0.00,30.33,0,34.21,1.41,46,0,-0.00,-0.00,4.80,4.80,13.74,14.60,204,70,7,68.38,306.65,157.399994,30.136507,-97.637177,
3612,250209,19,36,19,2.436,0.809,0.590,3.155,0.592,-0.004,-0.376,89,184,99.00,98.24,98.24,511.28,511.31,4.82,4555,51.24,42.00,1.56,0.00,32.21,0,33.84,1.41,46,0,-0.00,-0.00,4.80,4.80,13.74,14.62,204,71,7,68.38,306.65,157.399994,30.136507,-97.637177,
3692,250209,19,36,19,2.455,0.672,0.564,3.155,0.664,-0.128,-0.384,89,184,99.00,98.24,98.24,511.28,511.31,4.76,4470,51.58,42.00,1.56,0.00,34.08,0,33.47,1.42,46,0,-0.00,-0.00,4.80,4.80,13.74,14.56,204,70,7,67.02,304.83,157.399994,30.136517,-97.637192,
3772,250209,19,36,19,2.435,0.595,0.577,3.155,0.688,-0.168,-0.300,89,184,99.00,98.24,98.24,511.28,511.32,4.70,4393,51.72,41.00,1.54,0.00,35.95,0,33.10,1.43,46,0,-0.00,-0.00,4.80,4.80,13.74,14.61,204,70,5,66.06,303.41,157.399994,30.136526,-97.637207,
3852,250209,19,36,20,2.460,0.583,0.578,3.155,0.720,-0.064,-0.336,89,184,99.00,98.24,98.24,511.28,511.32,4.53,4337,49.98,39.50,1.50,0.00,37.45,0,31.98,1.39,46,0,-0.00,-0.00,4.80,4.80,13.74,14.58,204,70,3,64.54,301.09,157.399994,30.136534,-97.637222,
3936,250209,19,36,20,2.511,0.586,0.582,3.155,0.700,-0.164,-0.212,89,184,99.00,98.24,98.24,511.28,511.32,4.49,4280,50.25,39.00,1.50,0.00,39.32,0,31.60,1.40,46,0,-0.00,-0.00,4.82,4.80,13.74,14.63,204,71,3,63.28,298.90,157.399994,30.136541,-97.637238,
4012,250209,19,36,20,2.442,0.611,0.560,3.155,0.640,-0.076,-0.272,89,184,99.00,98.24,98.24,511.29,511.32,4.47,4241,50.67,39.00,1.46,0.00,39.32,0,31.60,1.40,46,0,-0.00,-0.00,4.80,4.80,13.74,14.66,204,72,2,63.28,298.90,157.399994,30.136541,-97.637238,
4092,250209,19,36,20,2.416,0.541,0.583,3.155,0.620,-0.028,-0.336,89,184,99.00,98.24,98.24,511.29,511.32,4.45,4209,50.78,39.00,1.46,0.00,39.32,0,31.60,1.41,46,0,-0.00,-0.00,4.80,4.80,13.74,14.57,204,71,3,62.43,296.73,157.399994,30.136547,-97.637260,
4172,250209,19,36,20,2.470,0.538,0.578,3.155,0.612,-0.116,-0.236,89,184,99.00,98.24,98.24,511.29,511.32,4.35,4143,50.34,37.75,1.48,0.00,39.32,0,30.86,1.40,46,0,-0.00,-0.00,4.80,4.80,13.84,14.57,204,70,1,61.65,294.86,157.399994,30.136555,-97.637276,
4252,250209,19,36,20,2.346,0.611,0.583,3.155,0.660,-0.036,-0.268,91,184,99.00,98.24,98.24,511.29,511.32,4.32,4130,49.98,38.00,1.46,0.00,39.32,0,30.48,1.39,41,0,-0.00,-0.00,4.80,4.80,13.74,14.51,204,70,1,60.45,292.88,157.399994,30.136560,-97.637291,
4336,250209,19,36,20,2.339,0.506,0.578,3.155,0.620,-0.080,-0.192,91,184,99.00,98.24,98.24,511.29,511.32,4.30,4067,50.65,37.50,1.44,0.00,38.95,0,30.48,1.41,41,0,-0.00,-0.00,4.80,4.80,13.74,14.55,204,69,2,59.95,290.82,157.399994,30.136564,-97.637306,
4412,250209,19,36,20,2.419,0.532,0.564,3.155,0.564,-0.064,-0.184,91,184,99.00,98.24,98.24,511.29,511.32,4.30,4038,51.05,37.50,1.44,0.00,38.95,0,30.86,1.42,41,0,-0.00,-0.00,4.80,4.80,13.74,14.46,204,68,0,59.95,290.82,157.399994,30.136564,-97.637306,
4492,250209,19,36,20,2.359,0.516,0.578,3.155,0.564,-0.060,-0.184,91,184,99.00,98.24,98.24,511.29,511.32,4.27,4012,50.57,36.50,1.42,0.00,37.45,0,30.48,1.42,41,0,-0.00,-0.00,4.80,4.80,13.74,14.48,204,68,1,59.25,288.90,157.399994,30.136570,-97.637321,
4572,250209,19,36,20,2.438,0.551,0.582,3.155,0.584,0.000,-0.264,91,184,99.00,98.24,98.24,511.29,511.32,4.31,3955,52.08,37.50,1.44,0.00,36.33,0,31.23,1.45,41,0,-0.00,-0.00,4.82,4.82,13.74,14.59,204,69,1,58.43,286.86,157.399994,30.136574,-97.637337,
4639,250209,19,36,20,2.426,0.540,0.584,3.155,0.552,-0.056,-0.108,91,184,99.00,98.24,98.24,511.29,511.33,4.23,3943,50.78,36.00,1.42,0.00,33.70,0,30.86,1.43,41,0,-0.00,-0.00,4.80,4.80,13.94,14.52,204,69,0,57.82,284.58,157.399994,30.136578,-97.637352,
4712,250209,19,36,20,2.358,0.481,0.577,3.155,0.568,-0.016,-0.132,91,184,99.00,98.24,98.24,511.29,511.33,4.18,3905,50.36,35.75,1.41,0.00,31.46,0,30.11,1.43,41,0,-0.00,-0.00,4.80,4.80,13.84,14.56,204,69,1,57.82,284.58,157.399994,30.136578,-97.637352,
4792,250209,19,36,20,2.397,0.486,0.581,3.155,0.528,-0.044,-0.228,91,184,99.00,98.24,98.24,511.29,511.33,4.15,3877,50.57,35.50,1.39,0.00,29.59,0,30.48,1.43,41,0,-0.00,-0.00,4.80,4.80,13.74,14.57,204,69,0,57.21,282.83,157.399994,30.136581,-97.637367,
4872,250209,19,36,20,2.429,0.477,0.564,3.155,0.476,-0.052,-0.232,91,184,99.00,98.24,98.24,511.30,511.33,4.15,3853,51.20,35.25,1.41,0.00,27.71,0,30.86,1.44,41,0,-0.00,-0.00,4.80,4.80,13.84,14.47,204,69,0,56.76,280.70,157.399994,30.136583,-97.637383,
4971,250209,19,36,22,2.358,0.527,0.580,3.155,0.596,-0.068,-0.184,91,184,99.00,98.24,98.24,511.30,511.33,4.06,3811,50.13,34.75,1.39,0.00,25.47,0,29.74,1.42,41,0,-0.00,-0.00,4.80,4.80,13.94,14.52,204,69,0,55.86,278.75,157.399994,30.136585,-97.637398,
5038,250209,19,36,22,2.438,0.524,0.588,3.155,0.568,-0.080,-0.208,91,184,99.00,98.24,98.24,511.30,511.33,4.04,3780,50.53,34.75,1.37,0.00,22.84,0,29.74,1.43,41,0,-0.00,-0.00,4.80,4.80,13.84,14.57,204,69,0,55.73,277.16,157.399994,30.136587,-97.637421,
5123,250209,19,36,22,2.359,0.495,0.575,3.155,0.588,-0.076,-0.144,91,184,99.00,98.24,98.24,511.30,511.33,4.04,3757,50.86,34.75,1.39,0.00,20.60,0,30.11,1.43,41,0,-0.00,-0.00,4.82,4.80,13.84,14.59,204,69,1,55.00,274.98,157.399994,30.136587,-97.637436,
5191,250209,19,36,22,2.426,0.493,0.579,3.155,0.648,-0.132,-0.216,92,184,99.00,98.24,98.24,511.30,511.33,4.03,3719,50.93,34.75,1.39,0.00,18.35,0,29.37,1.44,35,0,-0.00,-0.00,4.80,4.80,13.84,14.45,204,69,0,55.00,274.98,157.399994,30.136587,-97.637436,
5259,250209,19,36,22,2.423,0.484,0.579,3.155,0.668,-0.036,-0.220,92,184,99.00,98.24,98.24,511.30,511.33,3.96,3688,50.88,34.00,1.37,0.00,16.85,0,29.74,1.43,35,0,-0.00,-0.00,4.80,4.80,13.74,14.61,204,68,1,54.21,272.76,157.399994,30.136587,-97.637451,
5335,250209,19,36,22,2.483,0.489,0.578,3.155,0.732,-0.104,-0.180,92,184,99.00,98.24,98.24,511.30,511.33,4.00,3661,52.21,35.25,1.41,0.00,14.61,2,29.37,1.46,35,0,-0.00,-0.00,4.82,4.80,13.84,14.57,204,69,0,53.63,270.59,157.399994,30.136587,-97.637466,
5412,250209,19,36,22,2.422,0.591,0.578,3.155,0.600,-0.060,-0.008,92,184,99.00,98.24,98.24,511.30,511.33,4.00,3688,71.02,49.50,1.74,0.00,15.35,10,42.42,2.30,35,0,-0.00,-0.00,4.80,4.80,13.94,14.63,204,72,0,53.63,270.59,157.399994,30.136587,-97.637466,
5479,250209,19,36,22,2.406,0.521,0.579,3.155,0.564,-0.008,-0.048,92,184,99.00,98.24,98.24,511.30,511.33,6.35,3687,96.18,65.50,1.97,0.00,15.73,12,37.94,3.00,35,0,3.04,3.03,4.80,4.82,13.84,14.62,204,71,1,53.28,267.92,157.399994,30.136587,-97.637482,
5552,250209,19,36,22,2.436,0.522,0.582,3.155,0.432,-0.036,-0.076,92,184,99.00,98.24,98.24,511.30,511.34,8.30,3655,116.99,78.75,2.15,0.00,15.35,14,39.81,3.42,35,0,3.75,3.72,4.80,4.80,13.84,14.49,204,69,1,52.62,265.22,157.399994,30.136585,-97.637497,
5619,250209,19,36,22,2.415,0.554,0.564,3.155,0.432,-0.036,-0.076,92,184,99.00,98.24,98.24,511.30,511.34,9.38,3661,120.98,80.50,2.15,0.00,15.73,14,39.44,3.52,35,0,4.56,4.51,4.80,4.80,13.84,14.43,204,68,1,52.62,265.22,157.399994,30.136585,-97.637497,
5692,250209,19,36,22,2.356,0.508,0.580,3.155,0.484,-0.024,-0.072,92,184,99.00,98.24,98.24,511.30,511.34,9.68,3661,120.98,80.50,2.15,0.00,15.73,14,39.44,3.52,35,0,4.56,4.51,4.80,4.80,13.84,14.48,204,69,1,52.69,263.69,157.399994,30.136583,-97.637512,
5759,250209,19,36,22,2.359,0.500,0.582,3.155,0.648,0.028,-0.092,92,184,99.00,98.24,98.24,511.30,511.34,9.77,3632,122.18,80.50,2.17,0.00,15.73,14,39.06,3.59,35,0,5.36,5.32,4.80,4.80,13.94,14.52,204,68,0,52.84,262.01,157.399994,30.136581,-97.637520,
5833,250209,19,36,22,2.377,0.566,0.578,3.155,0.580,-0.016,-0.096,92,184,99.00,98.24,98.24,511.30,511.34,9.77,3621,121.42,79.50,2.15,0.00,16.10,14,39.06,3.58,35,0,6.19,6.12,4.74,4.82,13.94,14.53,204,68,-0,52.41,259.82,157.399994,30.136580,-97.637535,
5912,250209,19,36,22,2.352,0.528,0.591,3.155,0.624,-0.068,-0.028,92,184,99.00,98.24,98.24,511.31,511.34,8.83,3634,112.60,71.00,2.03,0.00,15.73,11,40.18,3.24,35,0,6.97,6.91,3.73,4.80,13.94,14.61,204,69,1,52.41,259.82,157.399994,30.136580,-97.637535,
5979,250209,19,36,22,2.361,0.566,0.563,3.155,0.700,0.052,-0.128,92,184,99.00,98.24,98.24,511.31,511.34,8.25,3613,107.37,69.00,2.03,0.00,15.73,11,40.56,3.04,35,0,5.61,7.64,2.50,4.78,13.84,14.52,204,68,0,52.23,257.62,157.300003,30.136576,-97.637550,
6052,250209,19,36,23,2.319,0.492,0.591,3.155,0.728,0.008,-0.092,92,184,99.00,98.24,98.24,511.31,511.34,8.25,3601,104.79,68.00,2.01,0.00,15.73,11,40.93,2.96,35,0,4.91,8.34,1.46,4.53,13.94,14.51,204,68,0,52.41,255.30,157.300003,30.136572,-97.637566,
